Admin2,Date,Case,Country/Region,Province/State
Hughes,2021-08-29,1410,US,Oklahoma
Rockingham,2020-09-12,1067,US,North Carolina
Eddy,2021-11-21,11481,US,New Mexico
Holt,2020-11-03,340,US,Nebraska
Cleveland,2020-07-23,50,US,Arkansas
Taylor,2020-06-11,2,US,Wisconsin
Cameron,2022-01-15,81438,US,Texas
Howard,2021-05-05,18961,US,Maryland
Comal,2020-08-29,2544,US,Texas
Delaware,2021-05-30,52170,US,Pennsylvania
Benton,2020-09-14,247,US,Iowa
Cottle,2022-01-25,267,US,Texas
Oconee,2021-05-31,9832,US,South Carolina
Nemaha,2020-06-07,4,US,Nebraska
Grant,2021-11-06,3837,US,Louisiana
Barron,2020-03-28,0,US,Wisconsin
Oxford,2021-10-29,5211,US,Maine
Kalamazoo,2021-06-15,23113,US,Michigan
Ware,2020-03-20,0,US,Georgia
Otsego,2021-01-25,1891,US,New York
Lunenburg,2020-10-03,120,US,Virginia
Twiggs,2020-07-10,41,US,Georgia
Madison,2021-08-24,2442,US,Texas
Summit,2020-01-27,0,US,Colorado
Jackson,2021-04-16,1825,US,Texas
Oldham,2020-12-08,2924,US,Kentucky
Wood,2021-06-01,2756,US,Texas
Tangipahoa,2021-04-30,12610,US,Louisiana
Warren,2020-03-06,0,US,Tennessee
Hancock,2021-02-19,862,US,Georgia
Chippewa,2022-01-26,7542,US,Michigan
Transylvania,2021-03-05,1940,US,North Carolina
Stonewall,2020-10-03,20,US,Texas
Delaware,2020-07-30,101,US,New York
Aguas Buenas,2022-02-04,3625,US,Puerto Rico
San Juan,2022-03-04,3953,US,Utah
Yolo,2022-02-08,37464,US,California
Yuba,2020-07-08,145,US,California
Windham,2021-07-29,11083,US,Connecticut
Clay,2021-01-15,706,US,Kansas
Pocahontas,2020-08-24,42,US,West Virginia
Santa Cruz,2021-08-11,18064,US,California
El Paso,2020-11-15,18170,US,Colorado
Out of CT,2022-03-20,0,US,Connecticut
Crosby,2020-07-22,36,US,Texas
Greene,2021-07-07,1323,US,Mississippi
Wayne,2021-10-24,5597,US,West Virginia
Lincoln,2020-10-29,49,US,Nevada
Rapides,2020-12-03,6528,US,Louisiana
Vilas,2021-11-12,3243,US,Wisconsin
McPherson,2021-11-13,4719,US,Kansas
Yabucoa,2021-08-23,1225,US,Puerto Rico
Cherokee,2022-02-18,2934,US,Iowa
Greene,2021-02-26,2661,US,Pennsylvania
Mississippi,2020-11-27,845,US,Missouri
Macon,2020-01-24,0,US,Alabama
Geary,2020-11-04,612,US,Kansas
Dewey,2022-04-07,1063,US,Oklahoma
Wayne,2020-04-03,1,US,Mississippi
Okeechobee,2021-04-26,3942,US,Florida
Wichita,2020-05-11,67,US,Texas
Power,2020-10-15,312,US,Idaho
Lane,2020-06-10,4,US,Kansas
Douglas,2020-04-21,384,US,Colorado
Hot Spring,2020-02-07,0,US,Arkansas
Lyon,2021-01-14,2393,US,Nevada
Roanoke,2021-02-10,6824,US,Virginia
Out of AK,2021-04-21,0,US,Alaska
Cottonwood,2021-07-02,1674,US,Minnesota
Brown,2020-01-26,0,US,Wisconsin
Dyer,2020-04-04,7,US,Tennessee
Currituck,2020-06-26,18,US,North Carolina
Troup,2020-04-05,34,US,Georgia
Iron,2021-04-08,951,US,Michigan
Hutchinson,2021-09-02,3893,US,Texas
Greensville,2021-09-09,1707,US,Virginia
Platte,2020-02-16,0,US,Wyoming
Uinta,2020-08-13,278,US,Wyoming
Ripley,2020-10-24,466,US,Indiana
Oceana,2022-01-16,5267,US,Michigan
Perry,2020-03-11,0,US,Ohio
Morgan,2021-10-05,9198,US,Indiana
Morris,2020-05-29,5,US,Kansas
Elliott,2022-01-08,1513,US,Kentucky
Elliott,2020-04-12,0,US,Kentucky
Cuming,2021-09-11,1056,US,Nebraska
Harvey,2020-09-27,361,US,Kansas
Pembina,2020-12-22,695,US,North Dakota
